
Symbol table '.dynsym' contains 2245 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
   186: 000000000006f690   456 FUNC    GLOBAL DEFAULT   13 _IO_puts@@GLIBC_2.2.5
   187: 0000000000126580   242 FUNC    GLOBAL DEFAULT   13 inet_nsap_addr@@GLIBC_2.2.5
   188: 0000000000125330   289 FUNC    WEAK   DEFAULT   13 inet_aton@@GLIBC_2.2.5
   189: 00000000000ffcc0   185 FUNC    GLOBAL DEFAULT   13 ttyslot@@GLIBC_2.2.5
   190: 00000000003c9750     8 OBJECT  GLOBAL DEFAULT   34 __rcmd_errstr@@GLIBC_2.2.5
   191: 00000000000f4430    93 FUNC    GLOBAL DEFAULT   13 wordfree@@GLIBC_2.2.5
   192: 00000000000f5bd0   120 FUNC    GLOBAL DEFAULT   13 posix_spawn_file_actions_@@GLIBC_2.2.5
   193: 00000000000c8d20    66 FUNC    GLOBAL DEFAULT   13 getdirentries@@GLIBC_2.2.5
   194: 000000000007c920    94 FUNC    GLOBAL DEFAULT   13 _IO_unsave_markers@@GLIBC_2.2.5
   195: 000000000007b600    36 FUNC    GLOBAL DEFAULT   13 _IO_default_uflow@@GLIBC_2.2.5
   196: 000000000003bda0    16 FUNC    GLOBAL DEFAULT   13 __strtold_internal@@GLIBC_2.2.5
   197: 00000000001179f0    66 FUNC    GLOBAL DEFAULT   13 __wcpcpy_chk@@GLIBC_2.4
   198: 00000000003c420c     4 OBJECT  GLOBAL DEFAULT   33 optind@@GLIBC_2.2.5
   199: 000000000009e980   158 FUNC    GLOBAL DEFAULT   13 __strcpy_small@@GLIBC_2.2.5
   200: 000000000003b000    32 FUNC    GLOBAL DEFAULT   13 erand48@@GLIBC_2.2.5
   201: 00000000000ae410    10 FUNC    WEAK   DEFAULT   13 wcstoul_l@@GLIBC_2.3
   202: 0000000000107780    33 FUNC    WEAK   DEFAULT   13 modify_ldt@@GLIBC_2.2.5
   203: 00000000003c9558     8 OBJECT  GLOBAL DEFAULT   34 argp_program_version@@GLIBC_2.2.5
   204: 0000000000084aa0   622 FUNC    GLOBAL DEFAULT   13 __libc_memalign@@GLIBC_2.2.5
   205: 00000000001085c0    76 FUNC    GLOBAL DEFAULT   13 isfdtype@@GLIBC_2.2.5
   206: 00000000000fe220   437 FUNC    GLOBAL DEFAULT   13 getfsfile@@GLIBC_2.2.5
   207: 000000000009eac0    53 FUNC    GLOBAL DEFAULT   13 __strcspn_c1@@GLIBC_2.2.5
   208: 000000000009eb00    53 FUNC    GLOBAL DEFAULT   13 __strcspn_c2@@GLIBC_2.2.5
   209: 000000000003b0f0    12 FUNC    GLOBAL DEFAULT   13 lcong48@@GLIBC_2.2.5
   210: 00000000000cae80   188 FUNC    GLOBAL DEFAULT   13 getpwent@@GLIBC_2.2.5
   211: 000000000009eb40    85 FUNC    GLOBAL DEFAULT   13 __strcspn_c3@@GLIBC_2.2.5
   212: 00000000000e8630   247 FUNC    WEAK   DEFAULT   13 re_match_2@@GLIBC_2.2.5
   213: 0000000000129ae0   826 FUNC    GLOBAL DEFAULT   13 __nss_next2@@GLIBC_PRIVATE
   214: 00000000003c67a8     8 OBJECT  WEAK   DEFAULT   34 __free_hook@@GLIBC_2.2.5
   215: 00000000000c9a60   704 FUNC    GLOBAL DEFAULT   13 putgrent@@GLIBC_2.2.5
   216: 000000000011cc60   220 FUNC    GLOBAL DEFAULT   13 getservent_r@@GLIBC_2.2.5
   217: 0000000000096e00    69 FUNC    WEAK   DEFAULT   13 argz_stringify@@GLIBC_2.2.5
   218: 0000000000075720   220 FUNC    GLOBAL DEFAULT   13 open_wmemstream@@GLIBC_2.4
   219: 0000000000123bf0   348 FUNC    GLOBAL DEFAULT   13 inet6_opt_append@@GLIBC_2.5
   220: 00000000001157a0    54 FUNC    WEAK   DEFAULT   13 clock_getcpuclockid@@GLIBC_2.17
   221: 000000000011cad0   192 FUNC    GLOBAL DEFAULT   13 setservent@@GLIBC_2.2.5
   222: 0000000000107e50    33 FUNC    GLOBAL DEFAULT   13 timerfd_create@@GLIBC_2.8
   223: 000000000008d400   738 FUNC    GLOBAL DEFAULT   13 strrchr@@GLIBC_2.2.5
   224: 00000000001427a0   268 FUNC    WEAK   DEFAULT   13 posix_openpt@@GLIBC_2.2.5
   225: 00000000001387d0    70 FUNC    GLOBAL DEFAULT   13 svcerr_systemerr@@GLIBC_2.2.5
   226: 0000000000077fb0    45 FUNC    WEAK   DEFAULT   13 fflush_unlocked@@GLIBC_2.2.5
   227: 000000000002dff0    19 FUNC    GLOBAL DEFAULT   13 __isgraph_l@@GLIBC_2.2.5
   228: 0000000000117c30   128 FUNC    GLOBAL DEFAULT   13 __swprintf_chk@@GLIBC_2.4
   229: 0000000000071540    21 FUNC    GLOBAL DEFAULT   13 vwprintf@@GLIBC_2.2.5
   230: 00000000000cbfc0   159 FUNC    WEAK   DEFAULT   13 wait@@GLIBC_2.2.5
   231: 000000000006fd00   358 FUNC    WEAK   DEFAULT   13 setbuffer@@GLIBC_2.2.5
   232: 0000000000087600   657 FUNC    WEAK   DEFAULT   13 posix_memalign@@GLIBC_2.2.5
   233: 00000000000f68a0    25 FUNC    GLOBAL DEFAULT   13 posix_spawnattr_setschedp@@GLIBC_2.2.5
   234: 00000000001235b0   354 FUNC    GLOBAL DEFAULT   13 getipv4sourcefilter@@GLIBC_2.3.4
   235: 0000000000118160   350 FUNC    GLOBAL DEFAULT   13 __vwprintf_chk@@GLIBC_2.4
   236: 0000000000118f50    66 FUNC    GLOBAL DEFAULT   13 __longjmp_chk@@GLIBC_2.11
   237: 000000000006ace0    91 FUNC    GLOBAL DEFAULT   13 tempnam@@GLIBC_2.2.5
   238: 000000000002dd20    26 FUNC    GLOBAL DEFAULT   13 isalpha@@GLIBC_2.2.5
   239: 000000000003f080    10 FUNC    WEAK   DEFAULT   13 strtof_l@@GLIBC_2.3
   240: 0000000000143e10     9 FUNC    GLOBAL DEFAULT   13 regexec@GLIBC_2.2.5
   241: 00000000000e84c0   294 FUNC    GLOBAL DEFAULT   13 regexec@@GLIBC_2.3.4
   242: 0000000000107400    33 FUNC    WEAK   DEFAULT   13 llseek@@GLIBC_2.2.5
   243: 00000000000fdb60    20 FUNC    GLOBAL DEFAULT   13 revoke@@GLIBC_2.2.5
   244: 00000000000e85f0    24 FUNC    WEAK   DEFAULT   13 re_match@@GLIBC_2.2.5
   245: 0000000000103130  1088 FUNC    WEAK   DEFAULT   13 tdelete@@GLIBC_2.2.5
   246: 00000000000f79a0    33 FUNC    WEAK   DEFAULT   13 pipe@@GLIBC_2.2.5
   247: 00000000000f8a20    36 FUNC    GLOBAL DEFAULT   13 readlinkat@@GLIBC_2.4
   248: 0000000000117900    51 FUNC    GLOBAL DEFAULT   13 __wctomb_chk@@GLIBC_2.4
   249: 0000000000105d10    99 FUNC    WEAK   DEFAULT   13 get_avphys_pages@@GLIBC_2.2.5
   250: 0000000000134570   330 FUNC    GLOBAL DEFAULT   13 authunix_create_default@@GLIBC_2.2.5
   251: 00000000000759e0   229 FUNC    GLOBAL DEFAULT   13 _IO_ferror@@GLIBC_2.2.5
   252: 0000000000131990   366 FUNC    GLOBAL DEFAULT   13 getrpcbynumber@@GLIBC_2.2.5
   253: 00000000000cdf70  1833 FUNC    GLOBAL DEFAULT   13 __sysconf@@GLIBC_2.2.5
   254: 0000000000096a10    69 FUNC    WEAK   DEFAULT   13 argz_count@@GLIBC_2.2.5
   255: 000000000008b470    65 FUNC    GLOBAL DEFAULT   13 __strdup@@GLIBC_2.2.5
   256: 0000000000117600    58 FUNC    GLOBAL DEFAULT   13 __readlink_chk@@GLIBC_2.4
   257: 0000000000054a50   431 FUNC    WEAK   DEFAULT   13 register_printf_modifier@@GLIBC_2.10
